t;h air
0;0.000000
1;0.100000
2;0.200000
3;0.300000
4;0.400000
5;0.500000
6;0.600000
7;0.700000
8;0.800000
9;0.900000
10;1.000.000
11;1.100.000
12;1.200.000
13;1.300.000
14;1.400.000
15;1.500.000
16;1.600.000
17;1.700.000
18;1.800.000
19;1.900.000
20;2.000.000
21;2.100.000
22;2.200.000
23;2.300.000
24;2.400.000
25;2.500.000
26;2.600.000
27;2.700.000
28;2.800.000
29;2.900.000
30;3.000.000
31;3.100.000
32;3.200.000
33;3.300.000
34;3.400.000
35;3.500.000
36;3.600.000
37;3.700.000
38;3.800.000
39;3.900.000
40;4.000.000
41;4.100.000
42;4.200.000
43;4.300.000
44;4.400.000
45;4.500.000
46;4.600.000
47;4.700.000
48;4.800.000
49;4.900.000
50;5.000.000
51;5.100.000
52;5.200.000
53;5.300.000
54;5.400.000
55;5.500.000
56;5.600.000
57;5.700.000
58;5.800.000
59;5.900.000
60;6.000.000
61;6.100.000
62;6.200.000
63;6.300.000
64;6.400.000
65;6.500.000
66;6.600.000
67;6.700.000
68;6.800.000
69;6.900.000
70;7.000.000
71;7.100.000
72;7.200.000
73;7.300.000
74;7.400.000
75;7.500.000
76;7.600.000
77;7.700.000
78;7.800.000
79;7.900.000
80;8.000.000
81;8.100.000
82;8.200.000
83;8.300.000
84;8.400.000
85;8.500.000
86;8.600.000
87;8.700.000
88;8.800.000
89;8.900.000
90;9.000.000
91;9.100.000
92;9.200.000
93;9.300.000
94;9.400.000
95;9.500.000
96;9.600.000
97;9.700.000
98;9.800.000
99;9.900.000
100;10.000.000
101;10.100.000
102;10.200.000
103;10.300.000
104;10.400.000
105;10.500.000
106;10.600.000
107;10.700.000
108;10.800.000
109;10.900.000
110;11.000.000
111;11.100.000
112;11.200.000
113;11.300.000
114;11.400.000
115;11.500.000
116;11.600.000
117;11.700.000
118;11.800.000
119;11.900.000
120;12.000.000
121;12.100.000
122;12.200.000
123;12.300.000
124;12.400.000
125;12.500.000
126;12.600.000
127;12.700.000
128;12.800.000
129;12.900.000
130;13.000.000
131;13.100.000
132;13.200.000
133;13.300.000
134;13.400.000
135;13.500.000
136;13.600.000
137;13.700.000
138;13.800.000
139;13.900.000
140;14.000.000
141;14.100.000
142;14.200.000
143;14.300.000
144;14.400.000
145;14.500.000
146;14.600.000
147;14.700.000
148;14.800.000
149;14.900.000
150;15.000.000
151;15.100.000
152;15.200.000
153;15.300.000
154;15.400.000
155;15.500.000
156;15.600.000
157;15.700.000
158;15.800.000
159;15.900.000
160;16.000.000
161;16.100.000
162;16.200.000
163;16.300.000
164;16.400.000
165;16.500.000
166;16.600.000
167;16.700.000
168;16.800.000
169;16.900.000
170;17.000.000
171;17.100.000
172;17.200.000
173;17.300.000
174;17.400.000
175;17.500.000
176;17.600.000
177;17.700.000
178;17.800.000
179;17.900.000
180;18.000.000
181;18.100.000
182;18.200.000
183;18.300.000
184;18.400.000
185;18.500.000
186;18.600.000
187;18.700.000
188;18.800.000
189;18.900.000
190;19.000.000
191;19.100.000
192;19.200.000
193;19.300.000
194;19.400.000
195;19.500.000
196;19.600.000
197;19.700.000
198;19.800.000
199;19.900.000
200;20.000.000
201;20.100.000
202;20.200.000
203;20.300.000
204;20.400.000
205;20.500.000
206;20.600.000
207;20.700.000
208;20.800.000
209;20.900.000
210;21.000.000
211;21.100.000
212;21.200.000
213;21.300.000
214;21.400.000
215;21.500.000
216;21.600.000
217;21.700.000
218;21.800.000
219;21.900.000
220;22.000.000
221;22.100.000
222;22.200.000
223;22.300.000
224;22.400.000
225;22.500.000
226;22.600.000
227;22.700.000
228;22.800.000
229;22.900.000
230;23.000.000
231;23.100.000
232;23.200.000
233;23.300.000
234;23.400.000
235;23.500.000
236;23.600.000
237;23.700.000
238;23.800.000
239;23.900.000
240;24.000.000
241;24.100.000
242;24.200.000
243;24.300.000
244;24.400.000
245;24.500.000
246;24.600.000
247;24.700.000
248;24.800.000
249;24.900.000
250;25.000.000
251;25.100.000
252;25.200.000
253;25.300.000
254;25.400.000
255;25.500.000
256;25.600.000
257;25.700.000
258;25.800.000
259;25.900.000
260;26.000.000
261;26.100.000
262;26.200.000
263;26.300.000
264;26.400.000
265;26.500.000
266;26.600.000
267;26.700.000
268;26.800.000
269;26.900.000
270;27.000.000
271;27.100.000
272;27.200.000
273;27.300.000
274;27.400.000
275;27.500.000
276;27.600.000
277;27.700.000
278;27.800.000
279;27.900.000
280;28.000.000
281;28.100.000
282;28.200.000
283;28.300.000
284;28.400.000
285;28.500.000
286;28.600.000
287;28.700.000
288;28.800.000
289;28.900.000
290;29.000.000
291;29.100.000
292;29.200.000
293;29.300.000
294;29.400.000
295;29.500.000
296;29.600.000
297;29.700.000
298;29.800.000
299;29.900.000
300;30.000.000
301;30.100.000
302;30.200.000
303;30.300.000
304;30.400.000
305;30.500.000
306;30.600.000
307;30.700.000
308;30.800.000
309;30.900.000
310;31.000.000
311;31.100.000
312;31.200.000
313;31.300.000
314;31.400.000
315;31.500.000
316;31.600.000
317;31.700.000
318;31.800.000
319;31.900.000
320;32.000.000
321;32.100.000
322;32.200.000
323;32.300.000
324;32.400.000
325;32.500.000
326;32.600.000
327;32.700.000
328;32.800.000
329;32.900.000
330;33.000.000
331;33.100.000
332;33.200.000
333;33.300.000
334;33.400.000
335;33.500.000
336;33.600.000
337;33.700.000
338;33.800.000
339;33.900.000
340;34.000.000
341;34.100.000
342;34.200.000
343;34.300.000
344;34.400.000
345;34.500.000
346;34.600.000
347;34.700.000
348;34.800.000
349;34.900.000
350;35.000.000
351;35.100.000
352;35.200.000
353;35.300.000
354;35.400.000
355;35.500.000
356;35.600.000
357;35.700.000
358;35.800.000
359;35.900.000
360;36.000.000
361;36.100.000
362;36.200.000
363;36.300.000
364;36.400.000
365;36.500.000
366;36.600.000
367;36.700.000
368;36.800.000
369;36.900.000
370;37.000.000
371;37.100.000
372;37.200.000
373;37.300.000
374;37.400.000
375;37.500.000
376;37.600.000
377;37.700.000
378;37.800.000
379;37.900.000
380;38.000.000
381;38.100.000
382;38.200.000
383;38.300.000
384;38.400.000
385;38.500.000
386;38.600.000
387;38.700.000
388;38.800.000
389;38.900.000
390;39.000.000
391;39.100.000
392;39.200.000
393;39.300.000
394;39.400.000
395;39.500.000
396;39.600.000
397;39.700.000
398;39.800.000
399;39.900.000
400;40.000.000
401;40.100.000
402;40.200.000
403;40.300.000
404;40.400.000
405;40.500.000
406;40.600.000
407;40.700.000
408;40.800.000
409;40.900.000
410;41.000.000
411;41.100.000
412;41.200.000
413;41.300.000
414;41.400.000
415;41.500.000
416;41.600.000
417;41.700.000
418;41.800.000
419;41.900.000
420;42.000.000
421;42.100.000
422;42.200.000
423;42.300.000
424;42.400.000
425;42.500.000
426;42.600.000
427;42.700.000
428;42.800.000
429;42.900.000
430;43.000.000
431;43.100.000
432;43.200.000
433;43.300.000
434;43.400.000
435;43.500.000
436;43.600.000
437;43.700.000
438;43.800.000
439;43.900.000
440;44.000.000
441;44.100.000
442;44.200.000
443;44.300.000
444;44.400.000
445;44.500.000
446;44.600.000
447;44.700.000
448;44.800.000
449;44.900.000
450;45.000.000
451;45.100.000
452;45.200.000
453;45.300.000
454;45.400.000
455;45.500.000
456;45.600.000
457;45.700.000
458;45.800.000
459;45.900.000
460;46.000.000
461;46.100.000
462;46.200.000
463;46.300.000
464;46.400.000
465;46.500.000
466;46.600.000
467;46.700.000
468;46.800.000
469;46.900.000
470;47.000.000
471;47.100.000
472;47.200.000
473;47.300.000
474;47.400.000
475;47.500.000
476;47.600.000
477;47.700.000
478;47.800.000
479;47.900.000
480;48.000.000
481;48.100.000
482;48.200.000
483;48.300.000
484;48.400.000
485;48.500.000
486;48.600.000
487;48.700.000
488;48.800.000
489;48.900.000
490;49.000.000
491;49.100.000
492;49.200.000
493;49.300.000
494;49.400.000
495;49.500.000
496;49.600.000
497;49.700.000
498;49.800.000
499;49.900.000
500;50.000.000
501;50.100.000
502;50.200.000
503;50.300.000
504;50.400.000
505;50.500.000
506;50.600.000
507;50.700.000
508;50.800.000
509;50.900.000
510;51.000.000
511;51.100.000
512;51.200.000
513;51.300.000
514;51.400.000
515;51.500.000
516;51.600.000
517;51.700.000
518;51.800.000
519;51.900.000
520;52.000.000
521;52.100.000
522;52.200.000
523;52.300.000
524;52.400.000
525;52.500.000
526;52.600.000
527;52.700.000
528;52.800.000
529;52.900.000
530;53.000.000
531;53.100.000
532;53.200.000
533;53.300.000
534;53.400.000
535;53.500.000
536;53.600.000
537;53.700.000
538;53.800.000
539;53.900.000
540;54.000.000
541;54.100.000
542;54.200.000
543;54.300.000
544;54.400.000
545;54.500.000
546;54.600.000
547;54.700.000
548;54.800.000
549;54.900.000
550;55.000.000
551;55.100.000
552;55.200.000
553;55.300.000
554;55.400.000
555;55.500.000
556;55.600.000
557;55.700.000
558;55.800.000
559;55.900.000
560;56.000.000
561;56.100.000
562;56.200.000
563;56.300.000
564;56.400.000
565;56.500.000
566;56.600.000
567;56.700.000
568;56.800.000
569;56.900.000
570;57.000.000
571;57.100.000
572;57.200.000
573;57.300.000
574;57.400.000
575;57.500.000
576;57.600.000
577;57.700.000
578;57.800.000
579;57.900.000
580;58.000.000
581;58.100.000
582;58.200.000
583;58.300.000
584;58.400.000
585;58.500.000
586;58.600.000
587;58.700.000
588;58.800.000
589;58.900.000
590;59.000.000
591;59.100.000
592;59.200.000
593;59.300.000
594;59.400.000
595;59.500.000
596;59.600.000
597;59.700.000
598;59.800.000
599;59.900.000
600;60.000.000
601;60.100.000
602;60.200.000
603;60.300.000
604;60.400.000
605;60.500.000
606;60.600.000
607;60.700.000
608;60.800.000
609;60.900.000
610;61.000.000
611;61.100.000
612;61.200.000
613;61.300.000
614;61.400.000
615;61.500.000
616;61.600.000
617;61.700.000
618;61.800.000
619;61.900.000
620;62.000.000
621;62.100.000
622;62.200.000
623;62.300.000
624;62.400.000
625;62.500.000
626;62.600.000
627;62.700.000
628;62.800.000
629;62.900.000
630;63.000.000
631;63.100.000
632;63.200.000
633;63.300.000
634;63.400.000
635;63.500.000
636;63.600.000
637;63.700.000
638;63.800.000
639;63.900.000
640;64.000.000
641;64.100.000
642;64.200.000
643;64.300.000
644;64.400.000
645;64.500.000
646;64.600.000
647;64.700.000
648;64.800.000
649;64.900.000
650;65.000.000
651;65.100.000
652;65.200.000
653;65.300.000
654;65.400.000
655;65.500.000
656;65.600.000
657;65.700.000
658;65.800.000
659;65.900.000
660;66.000.000
661;66.100.000
662;66.200.000
663;66.300.000
664;66.400.000
665;66.500.000
666;66.600.000
667;66.700.000
668;66.800.000
669;66.900.000
670;67.000.000
671;67.100.000
672;67.200.000
673;67.300.000
674;67.400.000
675;67.500.000
676;67.600.000
677;67.700.000
678;67.800.000
679;67.900.000
680;68.000.000
681;68.100.000
682;68.200.000
683;68.300.000
684;68.400.000
685;68.500.000
686;68.600.000
687;68.700.000
688;68.800.000
689;68.900.000
690;69.000.000
691;69.100.000
692;69.200.000
693;69.300.000
694;69.400.000
695;69.500.000
696;69.600.000
697;69.700.000
698;69.800.000
699;69.900.000
700;70.000.000
701;70.100.000
702;70.200.000
703;70.300.000
704;70.400.000
705;70.500.000
706;70.600.000
707;70.700.000
708;70.800.000
709;70.900.000
710;71.000.000
711;71.100.000
712;71.200.000
713;71.300.000
714;71.400.000
715;71.500.000
716;71.600.000
717;71.700.000
718;71.800.000
719;71.900.000
720;72.000.000
721;72.100.000
722;72.200.000
723;72.300.000
724;72.400.000
725;72.500.000
726;72.600.000
727;72.700.000
728;72.800.000
729;72.900.000
730;73.000.000
731;73.100.000
732;73.200.000
733;73.300.000
734;73.400.000
735;73.500.000
736;73.600.000
737;73.700.000
738;73.800.000
739;73.900.000
740;74.000.000
741;74.100.000
742;74.200.000
743;74.300.000
744;74.400.000
745;74.500.000
746;74.600.000
747;74.700.000
748;74.800.000
749;74.900.000
750;75.000.000
751;75.100.000
752;75.200.000
753;75.300.000
754;75.400.000
755;75.500.000
756;75.600.000
757;75.700.000
758;75.800.000
759;75.900.000
760;76.000.000
761;76.100.000
762;76.200.000
763;76.300.000
764;76.400.000
765;76.500.000
766;76.600.000
767;76.700.000
768;76.800.000
769;76.900.000
770;77.000.000
771;77.100.000
772;77.200.000
773;77.300.000
774;77.400.000
775;77.500.000
776;77.600.000
777;77.700.000
778;77.800.000
779;77.900.000
780;78.000.000
781;78.100.000
782;78.200.000
783;78.300.000
784;78.400.000
785;78.500.000
786;78.600.000
787;78.700.000
788;78.800.000
789;78.900.000
790;79.000.000
791;79.100.000
792;79.200.000
793;79.300.000
794;79.400.000
795;79.500.000
796;79.600.000
797;79.700.000
798;79.800.000
799;79.900.000
800;80.000.000
801;80.100.000
802;80.200.000
803;80.300.000
804;80.400.000
805;80.500.000
806;80.600.000
807;80.700.000
808;80.800.000
809;80.900.000
810;81.000.000
811;81.100.000
812;81.200.000
813;81.300.000
814;81.400.000
815;81.500.000
816;81.600.000
817;81.700.000
818;81.800.000
819;81.900.000
820;82.000.000
821;82.100.000
822;82.200.000
823;82.300.000
824;82.400.000
825;82.500.000
826;82.600.000
827;82.700.000
828;82.800.000
829;82.900.000
830;83.000.000
831;83.100.000
832;83.200.000
833;83.300.000
834;83.400.000
835;83.500.000
836;83.600.000
837;83.700.000
838;83.800.000
839;83.900.000
840;84.000.000
841;84.100.000
842;84.200.000
843;84.300.000
844;84.400.000
845;84.500.000
846;84.600.000
847;84.700.000
848;84.800.000
849;84.900.000
850;85.000.000
851;85.100.000
852;85.200.000
853;85.300.000
854;85.400.000
855;85.500.000
856;85.600.000
857;85.700.000
858;85.800.000
859;85.900.000
860;86.000.000
861;86.100.000
862;86.200.000
863;86.300.000
864;86.400.000
865;86.500.000
866;86.600.000
867;86.700.000
868;86.800.000
869;86.900.000
870;87.000.000
871;87.100.000
872;87.200.000
873;87.300.000
874;87.400.000
875;87.500.000
876;87.600.000
877;87.700.000
878;87.800.000
879;87.900.000
880;88.000.000
881;88.100.000
882;88.200.000
883;88.300.000
884;88.400.000
885;88.500.000
886;88.600.000
887;88.700.000
888;88.800.000
889;88.900.000
890;89.000.000
891;89.100.000
892;89.200.000
893;89.300.000
894;89.400.000
895;89.500.000
896;89.600.000
897;89.700.000
898;89.800.000
899;89.900.000
900;90.000.000
901;90.100.000
902;90.200.000
903;90.300.000
904;90.400.000
905;90.500.000
906;90.600.000
907;90.700.000
908;90.800.000
909;90.900.000
910;91.000.000
911;91.100.000
912;91.200.000
913;91.300.000
914;91.400.000
915;91.500.000
916;91.600.000
917;91.700.000
918;91.800.000
919;91.900.000
920;92.000.000
921;92.100.000
922;92.200.000
923;92.300.000
924;92.400.000
925;92.500.000
926;92.600.000
927;92.700.000
928;92.800.000
929;92.900.000
930;93.000.000
931;93.100.000
932;93.200.000
933;93.300.000
934;93.400.000
935;93.500.000
936;93.600.000
937;93.700.000
938;93.800.000
939;93.900.000
940;94.000.000
941;94.100.000
942;94.200.000
943;94.300.000
944;94.400.000
945;94.500.000
946;94.600.000
947;94.700.000
948;94.800.000
949;94.900.000
950;95.000.000
951;95.100.000
952;95.200.000
953;95.300.000
954;95.400.000
955;95.500.000
956;95.600.000
957;95.700.000
958;95.800.000
959;95.900.000
960;96.000.000
961;96.100.000
962;96.200.000
963;96.300.000
964;96.400.000
965;96.500.000
966;96.600.000
967;96.700.000
968;96.800.000
969;96.900.000
970;97.000.000
971;97.100.000
972;97.200.000
973;97.300.000
974;97.400.000
975;97.500.000
976;97.600.000
977;97.700.000
978;97.800.000
979;97.900.000
980;98.000.000
981;98.100.000
982;98.200.000
983;98.300.000
984;98.400.000
985;98.500.000
986;98.600.000
987;98.700.000
988;98.800.000
989;98.900.000
990;99.000.000
991;99.100.000
992;99.200.000
993;99.300.000
994;99.400.000
995;99.500.000
996;99.600.000
997;99.700.000
998;99.800.000
999;99.900.000
1000;100.000.000
